PLAYER,POS,LANE AGILITY TIME,SHUTTLE RUN,THREE QUARTER SPRINT,STANDING VERTICAL LEAP,MAX VERTICAL LEAP,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN,YEAR
Jalen Johnson,PF,-,-,-,-,-,4.50%,9.75,10.5,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25'',2021
David Johnson,SG,12.02,3.2,3.03,33,39,7.50%,8.25,8.5,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5'',2021
Keon Johnson,SG,11.45,3.2,3,41.5,48,4.40%,8.5,9,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25'',2021
Carlik Jones,PG,10.96,3.23,3.16,31.5,36,4.50%,8.25,9,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0'',2021
Kai Jones,PF,-,-,-,-,-,4.70%,9,9.5,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75'',2021
Herbert Jones,SF,11.02,3.17,3.25,28.5,36.5,5.80%,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',2021
Johnny Juzang,SG,11.13,3.08,3.13,31,36.5,8.00%,8.5,9.5,6'5.5'',6'7.0'',8'4.5'',209,6'10.5'',2021
Corey Kispert,SF,10.91,2.99,3.12,30,37.5,6.80%,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0'',2021
Jonathan Kuminga,SF,-,-,-,-,-,-%,-,-,,,,-,,2021
AJ Lawson,SG-SF,10.78,3.02,2.98,33,41,3.90%,8.5,9.25,6'6.0'',6'7.0'',8'4.0'',179.2,6'6.75'',2021
Scottie Lewis,SF,10.45,3.03,2.98,34,42,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0'',2021
Isaiah Livers,SF,-,-,-,-,-,9.40%,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25'',2021
Makur Maker,C,11.87,3.28,3.34,25.5,31,14.50%,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75'',2021
Sandro Mamukelashvili,C,11.63,3.3,3.21,30.5,36.5,7.80%,9,9.5,6'9.0'',6'10.5'',8'10.5'',239.8,7'1.25'',2021
Tre Mann,PG,-,-,-,-,-,4.10%,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',2021
Matthew Mayer,PF,-,-,-,-,-,-%,-,-,,,,-,,2021
Miles McBride,PG,11.08,3.13,3.1,31,38.5,6.00%,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',2021
Davion Mitchell,PG,-,-,-,-,-,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',2021
Isaiah Mobley,PF,12.7,3.5,3.3,26.5,32,12.90%,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0'',2021
Evan Mobley,PF,-,-,-,-,-,-%,-,-,,,,-,,2021
Moses Moody,SG,-,-,-,-,-,6.80%,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',2021
Trey Murphy III,SF,11.65,3.32,3.14,34,38,8.10%,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0'',2021
Daishen Nix,PG,11.72,3.18,3,29.5,36.5,11.80%,8.5,9,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75'',2021
John Petty Jr.,SG,11.51,3.17,3.35,27.5,34,5.60%,8.5,9,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5'',2021
Yves Pons,PF,10.89,3.05,3.1,36,42.5,4.00%,9,9.25,6'5.5'',6'6.75'',8'8.0'',206.4,7'0.75'',2021
Jason Preston,PG,10.82,3.08,3.13,30.5,38.5,5.45%,8.5,9.25,6'3.0'',6'4.0'',8'4.5'',180.6,6'8.5'',2021
Joshua Primo,SG,10.97,3.36,3.22,30.5,37.5,6.30%,9,10,6'4.0'',6'5.0'',8'6.5'',189,6'9.25'',2021
Roko Prkacin,PF,-,-,-,-,-,7.00%,8.75,9.25,6'7.5'',6'9.25'',8'11.0'',225.4,6'11.0'',2021
Neemias Queta,C,11.85,3.5,3.29,27,33,7.60%,9.25,10.5,6'11.25'',7'0.5'',9'4.5'',248.4,7'4.0'',2021
Austin Reaves,SG,10.94,3.19,3.07,25,35,11.00%,8,8.25,6'4.5'',6'5.75'',8'5.0'',197.2,6'6.25'',2021
Jeremiah Robinson-Earl,PF,11.64,3.15,3.29,27,32,8.90%,9,9.75,6'7.75'',6'9.0'',8'9.5'',242.4,6'9.75'',2021
Terrence Shannon Jr.,SF,11.51,3.12,3.21,32.5,39.5,6.70%,8,8,6'5.5'',6'6.5'',8'4.0'',206.6,6'8.25'',2021
Day'Ron Sharpe,C,-,-,-,-,-,-%,-,-,,,,-,,2021
Jericho Sims,C,11.59,3.38,3.05,37,44.5,5.50%,9,9.75,6'9.0'',6'10.0'',8'10.0'',250.2,7'3.25'',2021
Jaden Springer,SG,11.46,3.1,3.13,34.5,41.5,6.30%,8.5,9.75,6'3.0'',6'4.25'',8'3.0'',202,6'7.75'',2021
DJ Steward,PG,11.14,3.1,3.08,34.5,38.5,5.00%,8.5,9,6'0.75'',6'1.75'',8'2.5'',162.2,6'7.0'',2021
Cam Thomas,SG,-,-,-,-,-,-%,-,-,,,,-,,2021
JT Thor,PF,12.19,3.08,3.06,31.5,35,6.10%,9.25,9.5,6'8.5'',6'9.25'',9'2.0'',203,7'3.25'',2021
Isaiah Todd,PF,11.38,3.25,3.31,28.5,35.5,6.20%,9,9.75,6'8.75'',6'10.0'',8'11.5'',219,7'1.25'',2021
Duane Washington Jr.,SG,11.5,3.06,3.17,29.5,35.5,5.10%,8.75,8.75,6'2.25'',6'3.75'',8'5.0'',196.8,6'7.75'',2021
Trendon Watford,PF,11.69,3.23,3.27,28,35,10.10%,9.5,9.5,6'7.5'',6'8.75'',8'9.0'',237.4,7'2.25'',2021
Joe Wieskamp,SF,10.7,3.18,3.04,30,42,4.10%,8.5,9.25,6'5.75'',6'7.25'',8'7.0'',204.8,6'11.0'',2021
Aaron Wiggins,SG-SF,11.2,3,3.04,29.5,36,5.00%,8.75,8.5,6'4.5'',6'5.0'',8'7.0'',190,6'9.75'',2021
Ziaire Williams,SF,10.69,3.04,3.12,34,39.5,4.40%,9,8.75,6'8.25'',6'9.75'',8'10.5'',188.4,6'10.25'',2021
Moses Wright,PF,11.2,3.42,3.15,31.5,38,5.60%,9,9.5,6'7.75'',6'9.0'',8'11.0'',225.8,7'0.75'',2021
McKinley Wright IV,PG,10.76,3.12,3.08,31.5,38,6.70%,8.5,9,5'11.25'',6'0.25'',7'10.0'',192.2,6'5.25'',2021
Marcus Zegarowski,PG,11.47,3.26,3.11,30,35.5,7.20%,8,9.5,6'0.75'',6'2.0'',8'0.0'',180.8,6'2.75'',2021
Ashton Hagans,PG,10.82,2.5,3.13,29.5,36.5,4.10%,9,9,6'1.50'',6'2.50'',8'3.50'',193,6'8.00'',2020
CJ Elleby,SG-SF,11.25,2.63,3.25,30.5,36.5,4.20%,8.75,10,6'5.50'',6'6.25'',8'4.50'',198.6,6'7.25'',2020
Cassius Stanley,SG,11.4,2.43,3.09,34.5,44,5.80%,8.25,9,6'5.00'',6'6.25'',8'3.50'',201.6,6'7.00'',2020
Cassius Winston,PG,11.15,2.74,3.61,24,28,9.00%,8.75,8.25,6'0.50'',6'1.50'',8'1.00'',196,6'6.00'',2020
Devon Dotson,PG,10.44,2.22,3.02,31.5,40.5,4.60%,8.25,10,6'0.50'',6'1.75'',7'11.00'',185.2,6'3.00'',2020
Elijah Hughes,SF-SG,-,-,-,-,-,10.20%,8.5,8.75,6'4.75'',6'6.50'',8'5.50'',229,6'7.50'',2020
Grant Riller,PG-SG,11.17,2.45,3.07,32.5,39.5,5.40%,8,8.5,6'0.25'',6'1.00'',8'0.50'',178.4,6'5.25'',2020
Immanuel Quickley,SG,11.21,2.46,3.17,29.5,35.5,8.20%,8,8.75,6'2.00'',6'3.00'',8'3.00'',185.8,6'8.25'',2020
Isaiah Joe,SG,-,-,-,-,-,4.70%,8.25,8.25,6'3.00'',6'4.50'',8'5.00'',170.4,6'7.50'',2020
Isaiah Stewart,C,-,-,-,-,-,7.50%,9,10.5,6'7.25'',6'8.50'',9'0.50'',243,7'4.75'',2020
Jahmi'us Ramsey,SG,-,-,-,-,-,3.40%,8.75,9.75,6'2.50'',6'3.75'',8'4.50'',193.4,6'6.00'',2020
Jalen Harris,SG,10.59,2.49,3.11,37.5,42.5,4.40%,8.25,9.5,6'2.75'',6'4.25'',8'1.50'',193.4,6'7.00'',2020
Jalen Smith,PF-C,-,-,-,-,-,3.70%,9.25,9.25,6'9.25'',6'10.25'',9'2.00'',224.6,7'2.25'',2020
Jayden Scrubb,SG-SF,-,-,-,-,-,3.70%,8.25,9.75,6'5.00'',6'6.25'',8'8.50'',185.2,6'9.50'',2020
Jordan Nwora,SF-PF,11.29,2.66,3.43,29,35,11.68%,8.5,9.25,6'5.75'',6'7.00'',8'8.00'',223,6'10.25'',2020
Josh Green,SG-SF,10.64,2.28,3.12,30.5,39.5,6.80%,8,8.75,6'4.50'',6'5.50'',8'5.50'',214,6'9.75'',2020
Joshua Hall,SF,12.16,2.62,3.38,31.5,37.5,7.60%,8.75,9.5,6'6.00'',6'7.50'',8'8.50'',196.6,6'11.00'',2020
Kahlil Whitney,SF,11.17,2.61,3.28,29,39,5.30%,9.25,10.25,6'5.50'',6'7.00'',8'9.50'',205,7'0.25'',2020
Kaleb Wesson,C,11.73,2.64,3.6,21.5,27,12.50%,9,10.75,6'9.25'',6'10.25'',9'3.50'',252.6,7'3.50'',2020
Karim Mane,PG-SG,11.52,2.64,3.04,31,36,3.73%,8.5,9.75,6'5.00'',6'6.00'',8'6.00'',196,6'11.00'',2020
Kenyon Martin Jr.,SF-PF,11.93,2.58,3.16,31.5,38.5,5.90%,8.5,8.75,6'6.00'',6'7.00'',8'6.00'',213.2,6'7.25'',2020
Killian Tillie,PF,11.6,2.62,3.4,27.5,32,12.43%,8.25,9.25,6'8.75'',6'10.00'',8'10.00'',221.6,6'8.00'',2020
Lamar Stevens,SF-PF,10.35,2.54,3.2,35,41,6.80%,8.5,9.75,6'5.75'',6'6.75'',8'5.00'',228,6'9.00'',2020
Mamadi Diakite,PF,11.95,2.71,3.16,28,37,7.83%,9,10.25,6'8.50'',6'10.25'',8'11.00'',222.1,7'3.75'',2020
Markus Howard,PG,11.21,3.17,3.11,30.5,35.5,9.91%,8.5,7.75,5'9.50'',5'11.00'',7'7.50'',170.8,6'0.25'',2020
Mason Jones,SG,10.6,2.49,3.33,24,31,8.90%,8.75,8.5,6'3.75'',6'5.75'',8'6.50'',207.2,6'7.00'',2020
Myles Powell,PG-SG,-,-,-,-,-,15.80%,8,9,6'0.50'',6'1.50'',8'3.00'',194,6'7.00'',2020
Naji Marshall,SF,11.77,2.9,3.37,28.5,35,8.70%,9.25,10.5,6'5.75'',6'7.00'',8'6.50'',233.5,7'0.75'',2020
Nathan Knight,PF-C,11.56,2.96,3.31,23,31.5,8.20%,9,9.5,6'8.00'',6'9.75'',9'1.50'',235,7'2.00'',2020
Nick Richards,C,11.42,2.92,3.25,30,34,8.50%,9,9,6'10.50'',6'11.50'',9'2.00'',241.6,7'2.25'',2020
Paul Eboua,SF-PF,10.79,2.44,3.19,33,35.5,3.80%,9,10.25,6'6.00'',6'7.50'',9'0.00'',222.2,7'3.50'',2020
Paul Reed Jr.,PF,12.29,2.67,3.45,26.5,37.5,6.83%,9,8.75,6'8.50'',6'9.25'',9'1.50'',219.2,7'2.00'',2020
Precious Achiuwa,PF,-,-,-,-,-,6.70%,9,10,6'7.50'',6'8.75'',9'0.50'',234,7'0.75'',2020
Reggie Perry,PF-C,11.26,2.57,3.25,30,33.5,8.40%,9.25,11,6'8.25'',6'9.25'',8'10.50'',249.6,7'0.25'',2020
Robert Woodard II,SF,11.1,2.49,3.18,32,38,4.50%,9,10.75,6'5.50'',6'7.00'',8'9.50'',230.2,7'2.00'',2020
Skylar Mays,SG,10.65,2.4,3.3,29,37.5,7.40%,8,9.75,6'3.00'',6'4.00'',8'3.00'',204,6'6.00'',2020
Theo Maledon,PG,-,-,-,-,-,2.80%,8.5,10,6'4.00'',6'5.00'',8'4.50'',187.4,6'8.75'',2020
Trent Forrest,PG,11.04,2.5,3.18,28,34.5,5.65%,9,9.75,6'3.50'',6'4.75'',8'6.50'',203,6'7.50'',2020
Ty-Shon Alexander,SG,11.33,2.47,3.26,28,33,12.30%,8.75,8.75,6'2.00'',6'4.00'',8'4.00'',200.8,6'8.00'',2020
Tyler Bey,PF,11.35,2.75,3.17,37,43.5,5.00%,8.5,9,6'6.00'',6'7.00'',8'9.50'',212.8,7'1.25'',2020
Tyrell Terry,PG,10.78,2.59,3.28,30,34,7.60%,7.5,8.25,6'1.50'',6'3.00'',8'0.00'',170,6'1.75'',2020
Udoka Azubuike,C,11.82,3.61,3.23,37,41,9.61%,9.25,10,6'10.00'',6'11.50'',9'1.00'',259.5,7'7.25'',2020
Xavier Tillman Sr.,PF-C,11.8,3.01,3.49,26,32.5,8.50%,10.25,11,6'7.50'',6'8.50'',8'10.00'',266.5,7'2.00'',2020
Yoeli Childs,PF,10.87,2.42,3.22,34,38.5,8.20%,8.75,10,6'6.00'',6'7.00'',8'10.00'',226.4,6'11.50'',2020
Zeke Nnaji,PF-C,10.94,2.72,3.2,33,38,5.90%,9,10.5,6'9.25'',6'10.50'',8'9.50'',246.8,7'2.00'',2020
Admiral Schofield,SF,10.77,2.87,3.37,30,34,6.80%,8.75,9,6' 4'',6' 5.25'',8' 6.5'',240.6,6' 9.75'',2019
Bol Bol,C,-,-,-,-,-,7.10%,9.25,9.5,7' 0.75'',7' 2.5'',9' 7.5'',208,7' 7'',2019
Brandon Clarke,SF,10.61,3.05,3.15,34,40.5,4.90%,8.25,9.5,6' 7.25'',6' 8.25'',8' 6'',207.2,6' 8.25'',2019
Brian Bowen II,SF,10.98,3.21,3.26,32,35.5,6.50%,8.5,9.75,6' 6.25'',6' 7.5'',8' 7'',200,6' 10'',2019
Bruno Fernando,C,11.29,3.05,3.21,29.5,33.5,5.40%,9.25,10,6' 8.75'',6' 10.25'',9' 2'',237,7' 3.25'',2019
Cameron Johnson,SG,10.52,3.28,3.26,30.5,36.5,5.80%,8,8.5,6' 7'',6' 8.5'',8' 7'',205.2,6' 10'',2019
Cameron Reddish,SF,-,-,-,-,-,4.70%,9,9,6' 6.5'',6' 8'',8' 9.5'',207.8,7' 0.5'',2019
Carsen Edwards,PG,10.53,2.82,3.22,28.5,34,5.50%,8.75,9,5' 10.75'',6' 0.25'',7' 10.5'',199.4,6' 6'',2019
Charles Bassey,C,12.65,3.27,3.53,29,33,8.50%,9.25,9.5,6' 8.75'',6' 10'',9' 1.5'',239,7' 3.5'',2019
Charles Matthews,SG,11.26,3.24,3.38,29.5,37.5,3.80%,8.5,8.75,6' 5'',6' 6.25'',8' 7'',194.8,6' 9.5'',2019
Chuma Okeke,,-,-,-,-,-,-%,-,-,,,,-,,2019
Coby White,PG,-,-,-,-,-,4.30%,7.75,9,6' 3.5'',6' 4.75'',8' 1.5'',191.4,6' 5'',2019
Cody Martin,PG-SG,10.44,2.99,3.32,28,35.5,5.00%,8.25,9,6' 4.75'',6' 5.5'',8' 6.5'',192.2,6' 10.25'',2019
DaQuan Jeffries,SF-PF,-,-,-,-,-,3.90%,9.5,10.25,6' 4'',6' 5'',8' 8'',215.6,6' 11.25'',2019
Daniel Gafford,PF,11.61,3.19,3.25,32.5,36.5,5.90%,9.25,9.25,6' 9.25'',6' 10.5'',9' 2'',237.6,7' 2.25'',2019
Darius Bazley,PF,11.09,2.95,3.27,30.5,37,3.60%,9,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0'',2019
Darius Garland,PG,-,-,-,-,-,-%,-,-,,,,-,,2019
De'Andre Hunter,,-,-,-,-,-,-%,-,-,,,,-,,2019
Dedric Lawson,PF,11.8,3.54,3.6,23.5,26,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233,7' 2.25'',2019
Devon Dotson,PG,10.63,2.8,3.04,30,38.5,5.90%,8.25,9.5,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25'',2019
Dewan Hernandez,C,11.46,3.25,3.28,30.5,35.5,6.10%,9.5,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75'',2019
Dylan Windler,SF,10.7,2.94,3.3,29,37.5,4.60%,8.25,9.5,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10'',2019
Eric Paschall,SF,11.63,3.26,3.3,33,38,6.30%,9,9.5,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75'',2019
Grant Williams,PF,10.83,3.27,3.33,26,31.5,5.40%,9,10.5,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75'',2019
Ignas Brazdeikis,SF,11.06,3.17,3.36,31,36.5,6.00%,8.75,9.5,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25'',2019
Isaiah Roby,PF,10.63,3.05,3.25,32.5,35.5,3.90%,9,10.5,6' 7.25'',6' 8.5'',8' 10'',214,7' 1'',2019
Ja Morant,PG,-,-,-,-,-,-%,-,-,,,,-,,2019
Jalen Hoard,PF,11.44,3.32,3.34,27.5,35.5,6.70%,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75'',2019
Jalen Lecque,PG,11.09,3.3,3.29,35,43,4.00%,8.75,8.5,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5'',2019
Jalen McDaniels,SF,11.54,3.23,3.32,29.5,33.5,5.70%,9,10,6' 8.25'',6' 9.75'',8' 9.5'',191.6,7' 0.25'',2019
Jared Harper,PG,10.77,3.02,3.04,33.5,40.5,3.90%,8.25,9.5,5' 9.75'',5' 11'',7' 10'',169.2,6' 5.5'',2019
Jarrett Culver,SG,-,-,-,-,-,5.00%,8.25,8.5,6' 5.25'',6' 6.75'',8' 4.5'',194.2,6' 9.5'',2019
Jaxson Hayes,PF,11.74,3.23,3.37,27,34.5,5.00%,9.25,10.5,6' 10.25'',6' 11.5'',9' 2.5'',218.6,7' 3.5'',2019
Jaylen Hands,PG,10.73,3.03,3.12,33,41.5,5.10%,8,8.25,6' 1.5'',6' 3'',8' 1'',180.4,6' 5.5'',2019
Jaylen Nowell,SG,10.76,3.13,3.23,32,38.5,6.10%,8.25,8.5,6' 3.25'',6' 4.25'',8' 2'',202.4,6' 7.25'',2019
Jontay Porter,PF,-,-,-,-,-,8.50%,8.75,9.5,6' 9.75'',6' 11'',9' 1.5'',210.4,7' 0'',2019
Jordan Bone,SG,9.97,2.78,3.08,36,42.5,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25'',2019
Jordan Nwora,PF,-,-,-,-,-,7.80%,8.5,9.25,6' 5.75'',6' 7.5'',8' 7'',220,6' 10.5'',2019
Jordan Poole,SG,10.59,3.14,3.27,28,35.5,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75'',2019
KZ Okpala,SF,10.88,3.13,3.38,30.5,37,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75'',2019
Keldon Johnson,SG,-,-,-,-,-,5.60%,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25'',2019
Kevin Porter Jr.,SG,10.82,3.03,3.14,27,34,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9'',2019
Killian Tillie,,-,-,-,-,-,-%,-,-,,,,-,,2019
Kris Wilkes,SF,10.39,3.09,3.34,27.5,35,4.90%,8.5,9.5,6' 6.25'',6' 7.75'',8' 7'',208.8,6' 10.75'',2019
Ky Bowman,PG,11.11,3.11,3.26,27.5,33,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7'',2019
Kyle Guy,SG,10.48,3.07,3.27,30.5,36.5,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5'',2019
Louis King,SF,10.99,3.05,3.28,29,33,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25'',2019
Luguentz Dort,PG,10.79,3.13,3.22,32.5,38,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5'',2019
Luka Samanic,PF,11.01,3.03,3.27,27,38,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5'',2019
Marial Shayok,SF-PF,11.16,3.04,3.37,29.5,36.5,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25'',2019
Mfiondu Kabengele,PF,11.21,3.3,3.25,28,35.5,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3'',2019
Miye Oni,SG,11.71,3.12,3.17,30.5,38.5,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75'',2019
Moses Brown,C,11.95,3.3,3.51,27,31,7.80%,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75'',2019
Nassir Little,SF,12.15,3.1,3.24,31,38.5,5.90%,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25'',2019
Naz Reid,PF,12.03,3.76,3.42,26,32.5,14.00%,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25'',2019
Neemias Queta,C,12.04,3.45,3.73,24,32.5,6.30%,9.5,11,6' 10.75'',7' 0.25'',9' 3.5'',225.8,7' 4.25'',2019
Nickeil Alexander-Walker,SG,-,-,-,-,-,5.90%,8.5,8.75,6' 4.25'',6' 5.5'',8' 6'',203.8,6' 9.5'',2019
Nicolas Claxton,C,11.26,3.47,3.36,31.5,36.5,4.50%,9.25,9.5,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5'',2019
O'Shae Brissett,SF-PF,11.3,3.18,3.48,34,37.5,2.90%,9,9.5,6' 7'',6' 8'',8' 8'',203.2,7' 0'',2019
P.J. Washington,PF,-,-,-,-,-,8.60%,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25'',2019
Quentin Grimes,SG,10.83,3.28,3.2,27.5,36,8.40%,8.25,10,6' 4'',6' 5.25'',8' 4.5'',209.6,6' 7.75'',2019
Quinndary Weatherspoon,SG,11.57,3.15,3.16,31,38,6.10%,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9'',2019
RJ Barrett,SF,-,-,-,-,-,-%,-,-,,,,-,,2019
Reggie Perry,SF-PF,12.46,3.4,3.3,28.5,31.5,6.70%,9,10,6' 8'',6' 9.25'',8' 10'',250.8,7' 0.5'',2019
Romeo Langford,SG,-,-,-,-,-,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11'',2019
Shamorie Ponds,PG,11.01,3.07,3.2,29,37,9.80%,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5'',2019
Simisola Shittu,PF,11.85,3.24,3.3,27,35.5,6.20%,8.75,8.5,6' 8.5'',6' 9.5'',8' 10'',227.2,7' 1.25'',2019
Tacko Fall,C,13.01,3.46,3.78,22,26.5,6.80%,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25'',2019
Talen Horton-Tucker,SG,11.34,3.43,3.34,26,34.5,8.40%,9.5,9.75,6' 2.5'',6' 4'',8' 7'',235.4,7' 1.25'',2019
